"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"2000"	"2000"	"95 years"	"95"	10	Not Applicable	Not Applicable
	"2000"	"2000"	"96 years"	"96"	10	Not Applicable	Not Applicable
	"2000"	"2000"	"97 years"	"97"	3	Not Applicable	Not Applicable
	"2000"	"2000"	"98 years"	"98"	4	Not Applicable	Not Applicable
	"2000"	"2000"	"99 years"	"99"	2	Not Applicable	Not Applicable
	"2000"	"2000"	"100+ years"	"100"	2	Not Applicable	Not Applicable
	"2000"	"2000"	"Not Stated"	"NS"	3	Not Applicable	Not Applicable
	"2001"	"2001"	"< 1 year"	"0"	0	2317389	Unreliable
	"2001"	"2001"	"1 year"	"1"	0	2268611	Unreliable
	"2001"	"2001"	"2 years"	"2"	0	2272179	Unreliable
	"2001"	"2001"	"3 years"	"3"	0	2276394	Unreliable
	"2001"	"2001"	"4 years"	"4"	0	2300600	Unreliable
	"2001"	"2001"	"5 years"	"5"	0	2362144	Unreliable
	"2001"	"2001"	"6 years"	"6"	0	2402448	Unreliable
	"2001"	"2001"	"7 years"	"7"	0	2427330	Unreliable
	"2001"	"2001"	"8 years"	"8"	3	2491840	Unreliable
	"2001"	"2001"	"9 years"	"9"	2	2561003	Unreliable
	"2001"	"2001"	"10 years"	"10"	1	2644343	Unreliable
	"2001"	"2001"	"11 years"	"11"	10	2710558	Unreliable
	"2001"	"2001"	"12 years"	"12"	23	2641666	0.9
	"2001"	"2001"	"13 years"	"13"	54	2615038	2.1
	"2001"	"2001"	"14 years"	"14"	90	2602326	3.5
	"2001"	"2001"	"15 years"	"15"	137	2628655	5.2
	"2001"	"2001"	"16 years"	"16"	184	2647220	7.0
	"2001"	"2001"	"17 years"	"17"	247	2575623	9.6
	"2001"	"2001"	"18 years"	"18"	292	2603397	11.2
	"2001"	"2001"	"19 years"	"19"	357	2597667	13.7
	"2001"	"2001"	"20 years"	"20"	317	2609279	12.1
	"2001"	"2001"	"21 years"	"21"	382	2569067	14.9
	"2001"	"2001"	"22 years"	"22"	339	2429678	14.0
	"2001"	"2001"	"23 years"	"23"	333	2342079	14.2
	"2001"	"2001"	"24 years"	"24"	338	2294458	14.7
	"2001"	"2001"	"25 years"	"25"	323	2217636	14.6
